"ProbeID","Expression"
"1552715_a_at",1.334339986
"1552716_at",2.669201582
"1552717_s_at",1.920817855
"1552718_at",2.147392401
"1552719_at",2.566452548
"1552721_a_at",1.708233477
"1552722_at",2.41584345
"1552724_at",2.183955766
"1552725_s_at",1.763784165
"1552726_at",2.175704902
"1552727_s_at",1.906495969
"1552729_at",3.26190335
"1552730_at",2.291060248
"1552731_at",1.292741549
"1552732_at",2.089980474
"1552733_at",4.359384532
"1552734_at",2.10613403
"1552735_at",1.976740694
"1552736_a_at",2.631147303
"1552737_s_at",1.291149349
"1552738_a_at",2.720106872
"1552739_s_at",2.853412144
"1552740_at",2.439674048
"1552742_at",2.286874365
"1552743_at",1.303068144
"1552745_at",1.43309532
"1552747_a_at",1.787952025
"1552749_a_at",3.12864163
"1552750_at",1.846858395
"1552751_a_at",2.533830142
"1552752_a_at",2.012153486
"1552754_a_at",1.707184864
"1552755_at",2.707658588
"1552757_s_at",2.307966928
"1552758_at",1.705104474
"1552760_at",1.757430127
"1552761_at",2.752628188
"1552763_at",1.580090514
"1552765_x_at",1.965303507
"1552766_at",1.784105381
"1552767_a_at",1.711849251
"1552768_at",2.216970071
"1552769_at",1.628889703
"1552770_s_at",3.522230492
"1552771_a_at",1.725148461
"1552772_at",2.583789045
"1552773_at",4.603194125
"1552774_a_at",1.620240286
"1552775_at",2.226162545
"1552777_a_at",2.034971814
"1552779_a_at",2.221626602
"1552782_at",1.764223989
"1552783_at",2.282194675
"1552785_at",2.614822988
"1552787_at",3.847608189
"1552788_a_at",1.764277359
"1552789_at",7.397255847
"1552790_a_at",7.180688528
"1552791_a_at",1.868427403
"1552792_at",1.694315079
"1552793_at",1.577583008
"1552794_a_at",2.010802427
"1552796_a_at",2.047731851
"1552797_s_at",2.318233573
"1552798_a_at",4.976634714
"1552799_at",2.172290473
"1552800_at",2.229141129
"1552801_at",2.006123881
"1552803_a_at",2.430603043
"1552804_a_at",2.057219876
"1552806_a_at",2.067540604
"1552807_a_at",5.817411563
"1552808_at",2.010197469
"1552809_at",1.812331893
"1552811_at",3.078654425
"1552812_a_at",2.377604285
"1552813_at",2.087562487
"1552814_a_at",2.046332261
"1552816_at",2.65360831
"1552818_a_at",1.504406809
"1552819_at",1.79340575
"1552822_at",2.294788725
"1552825_at",2.133328955
"1552826_at",2.293717572
"1552827_s_at",1.878978608
"1552828_at",1.541577537
"1552829_at",2.612822901
"1552830_at",2.946696168
"1552833_at",1.692036318
"1552834_at",2.793447158
"1552835_at",1.860823668
"1552836_at",2.272076313
"1552837_at",1.537327871
"1552839_at",2.751337187
"1552841_s_at",1.784082022
"1552842_at",1.592935728
"1552843_at",1.866018106
"1552845_at",1.28750763
"1552846_s_at",2.136565886
"1552848_a_at",1.732616011
"1552849_at",2.122813737
"1552851_at",1.488011556
"1552852_a_at",3.126965278
"1552853_at",2.046401111
"1552854_a_at",1.264411935
"1552856_at",2.719218859
"1552857_a_at",1.586745937
"1552858_at",2.437749298
"1552860_at",2.722021707
"1552862_at",1.845901437
"1552863_a_at",2.422487713
"1552865_a_at",1.722997248
"1552867_at",1.845368001
"1552868_at",3.057572581
"1552870_s_at",1.987841297
"1552872_at",2.063920623
"1552873_s_at",2.455256025
"1552875_a_at",2.606870376
"1552876_at",1.806253494
"1552877_s_at",2.518782364
"1552878_at",1.531138929
"1552879_a_at",1.858866674
"1552880_at",1.409842314
"1552882_a_at",2.545538018
"1552884_at",2.733512865
"1552885_a_at",2.793990807
"1552887_at",2.994858336
"1552889_a_at",3.983462472
"1552890_a_at",1.563246282
"1552892_at",2.981196094
"1552893_at",1.55201443
"1552895_a_at",2.042628851
"1552897_a_at",1.897102526
"1552898_a_at",1.119280749
"1552899_at",4.448435165
"1552900_a_at",1.780969384
"1552902_a_at",2.088614305
"1552903_at",2.459846701
"1552904_at",2.31547744
"1552906_at",2.333931508
"1552908_at",1.898809408
"1552910_at",1.856151015
"1552911_at",1.900077475
"1552912_a_at",2.037117249
"1552913_at",1.921895153
"1552914_a_at",2.465364659
"1552915_at",1.621544953
"1552917_at",1.888989768
"1552919_at",2.162315089
"1552921_a_at",1.855833517
"1552922_at",2.226572899
"1552923_a_at",2.132865499
"1552924_a_at",2.276175844
"1552925_at",1.672958331
"1552927_at",3.113466578
"1552928_s_at",2.313365358
"1552929_at",1.631531193
"1552930_at",2.542678565
"1552931_a_at",2.718700647
"1552932_at",2.329661276
"1552933_at",2.01974086
"1552935_at",2.663869978
"1552937_s_at",2.055674663
"1552938_at",2.379350754
"1552939_at",1.643862012
"1552940_at",1.36351262
"1552942_at",3.019832134
"1552943_at",1.624484884
"1552944_a_at",2.661511696
"1552946_at",1.481615084
"1552947_x_at",1.700777466
"1552948_at",3.05069596
"1552950_at",2.553755199
"1552952_at",1.881916489
"1552953_a_at",2.3802241
"1552954_at",1.608548623
"1552955_at",2.036410153
"1552957_at",2.146688431
"1552960_at",2.333245249
"1552961_at",3.189975995
"1552964_at",1.345295938
"1552965_a_at",1.890286329
"1552967_at",1.716798502
"1552969_a_at",2.856757406
"1552970_s_at",2.108165652
"1552971_at",1.357989364
"1552972_at",2.119954775
"1552973_at",1.593871062
"1552974_at",2.392535186
"1552975_x_at",2.90160121
"1552976_at",2.868036244
"1552977_a_at",7.447817938
"1552978_a_at",3.609382149
"1552979_at",1.915361399
"1552980_at",2.607313047
"1552982_a_at",1.517142909
"1552985_at",1.421483969
"1552986_at",2.21004242
"1552987_a_at",2.053798457
"1552988_at",1.851007422
"1552990_at",0.866442606
"1552991_at",1.339060386
"1552993_at",1.645241032
"1552995_at",1.405316497
"1552997_a_at",1.539849484
"1552998_at",1.333977814
"1552999_a_at",1.651770533
"1553002_at",2.406650101
"1553003_at",1.447936316
"1553004_at",1.564123949
"1553006_at",2.033247184
"1553007_a_at",1.921058582
"1553009_s_at",2.029729379
