"ProbeID","Expression"
"1552933_at",3.026969622
"1552935_at",6.419856416
"1552937_s_at",5.631683784
"1552938_at",4.771045073
"1552939_at",2.499613879
"1552940_at",3.329427287
"1552942_at",5.284901296
"1552943_at",2.681624008
"1552944_a_at",8.438506649
"1552946_at",2.606749832
"1552947_x_at",3.279181738
"1552948_at",4.825502777
"1552950_at",2.754440365
"1552952_at",2.83984863
"1552953_a_at",4.969258905
"1552954_at",3.763125434
"1552955_at",4.343256873
"1552957_at",2.964729055
"1552960_at",4.952917568
"1552961_at",4.050365945
"1552964_at",5.179876381
"1552965_a_at",4.153788406
"1552967_at",4.366694264
"1552969_a_at",3.431812484
"1552970_s_at",2.966415813
"1552971_at",2.968554996
"1552972_at",2.288672801
"1552973_at",4.511368314
"1552974_at",2.390802031
"1552975_x_at",2.532420787
"1552976_at",7.501307801
"1552977_a_at",8.477565395
"1552978_a_at",5.271415557
"1552979_at",2.752554902
"1552980_at",3.781119237
"1552982_a_at",3.886708099
"1552985_at",3.792090816
"1552986_at",4.2822827
"1552987_a_at",2.429339568
"1552988_at",2.841626155
"1552990_at",3.802042664
"1552991_at",4.289531535
"1552993_at",2.436604197
"1552995_at",5.984422003
"1552997_a_at",5.173973559
"1552998_at",3.392426621
"1552999_a_at",3.450984834
"1553002_at",3.117234222
"1553003_at",3.939169466
"1553004_at",3.333589051
"1553006_at",4.320906563
"1553007_a_at",3.193901968
"1553009_s_at",3.6866098
"1553011_at",4.303689166
"1553013_at",4.853520152
"1553015_a_at",6.469468913
"1553016_at",4.133601657
"1553019_at",5.926492099
"1553020_at",3.318017633
"1553021_s_at",4.492758114
"1553022_at",2.739739942
"1553023_a_at",4.452391371
"1553024_at",3.046177209
"1553025_at",3.47606993
"1553027_a_at",3.993506723
"1553028_at",3.725941391
"1553030_a_at",4.087135538
"1553031_at",4.224894043
"1553032_at",3.36448182
"1553033_at",3.681114678
"1553034_at",3.131689308
"1553036_at",3.708748094
"1553037_a_at",4.55453571
"1553039_a_at",6.580967627
"1553041_at",4.739727239
"1553042_a_at",5.511346649
"1553043_a_at",8.915906416
