"ProbeID","Expression"
"1552473_at",7.1131056201
"1552474_a_at",6.7335833096
"1552476_s_at",5.8294144351
"1552477_a_at",2.7805192189
"1552478_a_at",3.2614193068
"1552480_s_at",6.9484265095
"1552481_s_at",3.2502970627
"1552482_at",3.0696047697
"1552484_at",5.5006346428
"1552485_at",5.3637249343
"1552486_s_at",5.9494039624
"1552487_a_at",2.4080471068
"1552489_s_at",2.5768209987
"1552490_at",3.225267788
"1552491_at",4.9209798127
"1552493_s_at",3.5242455788
"1552494_at",3.960930748
"1552496_a_at",3.0565812597
"1552497_a_at",6.7010459821
"1552498_at",3.505745754
"1552499_a_at",3.6691116086
"1552501_a_at",7.8093147283
"1552502_s_at",2.7751491206
"1552503_at",4.7234286277
"1552504_a_at",6.4058402529
"1552506_at",3.67802123
"1552507_at",4.3793910431
"1552508_at",3.9550705475
"1552509_a_at",2.8902903351
"1552510_at",7.9819748598
"1552511_a_at",2.6763812831
"1552514_at",2.7839029921
"1552515_at",4.182735094
"1552516_a_at",6.1032146734
"1552518_s_at",2.7203916227
"1552519_at",5.2323469918
"1552520_at",2.9455454147
"1552521_a_at",2.6056349295
"1552522_at",2.3184484011
"1552523_a_at",3.8579060753
"1552524_at",6.2480036894
"1552526_at",3.7316169475
"1552528_at",5.7520309267
"1552531_a_at",3.4024889301
"1552532_a_at",3.0159052671
"1552535_at",5.0573950485
"1552536_at",6.5219295815
"1552538_a_at",3.4563392843
"1552540_s_at",4.5757880305
"1552541_at",7.4419880309
"1552542_s_at",6.0948118969
"1552543_a_at",3.7596397179
"1552544_at",3.2499047619
"1552546_a_at",4.5924978311
"1552548_at",4.0749649101
"1552549_a_at",5.3623199623
"1552552_s_at",3.8468881422
"1552553_a_at",8.8223427024
"1552554_a_at",5.081611149
"1552555_at",5.8662515197
"1552557_a_at",3.1668121037
"1552558_a_at",6.3498269415
"1552559_a_at",3.9683713378
"1552562_at",3.9499173009
"1552563_a_at",5.31731535
"1552564_at",3.5489096407
"1552566_at",3.5226868778
"1552568_at",5.1005517022
"1552569_a_at",4.4368788122
"1552570_at",3.7896713524
"1552572_a_at",2.472833388
"1552573_s_at",2.485401481
"1552575_a_at",3.2721458719
"1552576_at",4.2216378155
"1552578_a_at",2.8923511556
"1552579_a_at",3.5371249673
"1552580_at",5.2018516485
"1552582_at",3.3021481288
"1552583_s_at",6.9080808769
"1552584_at",6.7890811742
"1552585_s_at",3.0271536404
"1552586_at",5.1913964028
"1552587_at",2.8978229916
"1552588_a_at",2.8570114846
"1552590_a_at",2.8147527188
"1552592_at",2.4704714769
"1552594_at",5.3798454859
"1552596_at",6.4196882973
"1552598_at",4.1726481555
"1552599_at",3.1147958263
"1552602_at",4.3263852159
"1552604_at",4.4970391568
"1552605_s_at",3.2263953389
"1552607_at",5.5646920185
"1552608_at",3.5474033145
"1552609_s_at",3.3696630131
"1552610_a_at",6.4444321996
"1552611_a_at",7.5029607642
"1552612_at",6.7398021267
"1552613_s_at",6.4046098245
"1552615_at",7.4840652884
"1552616_a_at",4.4006992618
"1552617_a_at",7.9134110231
"1552618_at",6.8180080095
"1552619_a_at",3.7180601727
"1552620_at",6.8308281933
"1552621_at",7.7221930515
"1552622_s_at",5.4523984627
"1552623_at",5.4518105492
"1552625_a_at",4.6832016664
"1552626_a_at",3.1466230948
"1552627_a_at",2.9702127102
"1552628_a_at",8.3213201544
"1552629_a_at",3.6079826047
"1552630_a_at",4.8247711589
"1552631_a_at",5.6907346326
"1552632_a_at",5.1834305646
"1552633_at",5.5208295375
"1552634_a_at",5.678735816
"1552637_at",2.9912385747
"1552639_at",5.1721565534
"1552641_s_at",5.5494707272
"1552643_at",4.4513425401
"1552644_a_at",4.3189112766
"1552646_at",5.1768405255
"1552648_a_at",6.1986521408
"1552649_a_at",5.0034950188
"1552651_a_at",6.0143921462
"1552652_at",5.9731262391
"1552656_s_at",4.4574595318
"1552657_a_at",4.7359943094
"1552658_a_at",3.144802591
"1552660_a_at",3.1292487183
"1552661_at",2.4008186331
"1552662_a_at",3.1422803256
"1552663_a_at",5.8512569505
"1552664_at",5.5076200883
"1552665_at",4.2234846338
"1552666_a_at",2.6630869191
"1552667_a_at",6.9057893769
"1552669_at",4.4460952585
"1552670_a_at",5.845430118
"1552671_a_at",5.1578027091
"1552672_a_at",4.408452227
"1552673_at",3.1420238103
"1552674_at",2.4648132386
"1552675_at",2.5599921077
"1552676_at",5.5725652723
"1552677_a_at",4.7634262125
"1552678_a_at",4.1792897038
"1552680_a_at",3.8470850889
"1552682_a_at",3.2942367822
"1552684_a_at",2.942935828
"1552685_a_at",4.5430399272
"1552686_at",4.5612842225
"1552687_a_at",3.7046788916
"1552689_at",6.1976722529
"1552690_a_at",4.9339521915
"1552691_at",9.6988880598
"1552693_at",2.8400704558
"1552694_at",2.4248758822
"1552695_a_at",3.6252565437
"1552696_at",3.1889953652
"1552698_at",5.7687884867
"1552701_a_at",9.5747844505
"1552703_s_at",9.3238461018
"1552705_at",2.4552065338
"1552708_a_at",2.6420291981
"1552711_a_at",5.363243168
"1552712_a_at",4.9509008951
"1552713_a_at",6.6258910495
"1552714_at",2.8716813869
"1552715_a_at",3.0232772013
"1552716_at",3.5626501852
"1552717_s_at",4.1665375212
"1552718_at",4.1400948484
"1552719_at",5.2954123074
"1552721_a_at",2.7264190117
"1552722_at",2.5283790737
"1552724_at",5.6507796824
"1552725_s_at",4.0006476366
"1552726_at",3.5954407999
"1552727_s_at",3.0283793189
"1552729_at",5.8010951417
"1552730_at",4.0918120977
"1552731_at",3.1225488496
"1552732_at",2.4614436757
"1552733_at",2.8805659403
"1552734_at",3.2210753965
"1552735_at",2.5881665571
"1552736_a_at",4.1213606873
"1552737_s_at",3.9757709445
"1552738_a_at",2.7990789209
"1552739_s_at",3.658285578
"1552740_at",2.5317752748
"1552742_at",2.9536618122
"1552743_at",3.2140587052
"1552745_at",3.4322897035
"1552747_a_at",2.6607660804
"1552749_a_at",7.0994609267
"1552750_at",2.767323979
"1552751_a_at",5.4600497344
"1552752_a_at",3.0127647602
"1552754_a_at",2.6017572207
"1552755_at",4.8137071332
"1552757_s_at",3.6410013156
"1552758_at",3.0591300832
"1552760_at",2.7265824257
"1552761_at",5.6636132999
"1552763_at",2.4634469204
"1552765_x_at",2.5978783907
"1552766_at",2.5488418583
"1552767_a_at",2.6154741355
"1552768_at",5.7143678115
"1552769_at",3.7236933527
"1552770_s_at",4.5862954016
"1552771_a_at",2.9505021646
"1552772_at",9.6859990209
"1552773_at",9.4737100308
"1552774_a_at",2.7362161925
"1552775_at",4.8912465473
"1552777_a_at",4.6501757923
"1552779_a_at",2.8145110043
"1552782_at",2.6906552086
"1552783_at",2.570883062
"1552785_at",2.7495815541
"1552787_at",5.0182635881
"1552788_a_at",5.2409253658
"1552789_at",4.6490008617
"1552790_a_at",6.7891573445
"1552791_a_at",2.5793316821
"1552792_at",2.9912047169
"1552793_at",3.9642513233
"1552794_a_at",2.6739706937
"1552796_a_at",3.2514517622
"1552797_s_at",3.2036818642
"1552798_a_at",7.5261427269
"1552799_at",4.5475249027
"1552800_at",6.013688833
"1552801_at",3.6205112934
"1552803_a_at",3.4896230964
"1552804_a_at",4.5276785508
"1552806_a_at",5.9117991991
"1552807_a_at",8.4719404438
"1552808_at",2.5840921419
"1552809_at",3.3397194632
"1552811_at",6.3013512961
"1552812_a_at",4.2662867497
"1552813_at",4.6227891879
"1552814_a_at",4.3494891814
"1552816_at",2.5270634685
"1552818_a_at",3.0418251693
"1552819_at",4.0587706742
"1552822_at",2.6430717655
"1552825_at",2.8857888479
"1552826_at",2.4453350083
"1552827_s_at",3.2678695467
"1552828_at",5.4113416276
"1552829_at",5.4556975555
"1552830_at",3.3864429933
"1552833_at",4.5601349574
"1552834_at",5.0521145855
"1552835_at",3.4323304226
"1552836_at",5.3157497684
"1552837_at",2.3944186415
"1552839_at",3.0581854215
"1552841_s_at",3.1462881474
"1552842_at",4.9727088911
"1552843_at",3.2884802356
"1552845_at",5.5810930249
"1552846_s_at",6.3119369569
"1552848_a_at",3.3319488403
"1552849_at",2.6400291586
"1552851_at",2.7174483512
"1552852_a_at",2.7697475592
"1552853_at",3.7179122729
"1552854_a_at",3.8110856249
"1552856_at",3.6410822089
"1552857_a_at",3.7787802683
